Genero,Edad,Ubicacion,Tipo_Escuela,Transporte_a_la_Escuela,Privada,Area_de_la_Carrera,Promedio_Inicial,Promedio_Medio,Promedio_Final,Horas_Estudio_Semanal,Otra_Carrera_Previa,Nivel_Ingresos_Rango,Trabaja,Apoyo_Economico,Foraneo_o_Local,Con_quien_vive,Estado_Civil,Discapacidad,Problemas_Socioeconomicos,Horas_Sueño,Nivel_Estres_Percibido,Recibio_Orientacion_Vocacional,Razon_Principal_Eleccion_Carrera,Problemas_Familiares,Problemas_Psicologicos,Habilidades,Nivel_de_Satisfaccion,Hobbies,Amigos_Cercanos,Satisfaccion_Carrera,Motivo_eleccion_carrera,Expectativas_cumplidas,Deserto,Motivo_de_Desercion,Año_de_Desercion
Femenino,19,Urbana,Privada,30,Si,Arte,67,71,93,10,Si,5k-10k,Si,Beca,Local,Solo,Soltero,Ninguna,Si,8,1,Si,Sueldo,No,Si,Baja,5,Arte,8,5,Vocación,No,No,No Aplica,0
Femenino,23,Rural,Publica,21,No,Ingenieria,69,83,79,14,Si,5k-10k,Si,Padres,Local,Familia,Soltero,Ninguna,Si,4,5,Si,Gusto Personal,No,Si,Alta,9,Arte,6,8,Cercanía,Si,Si,Cambio de Carrera,6
Masculino,17,Rural,Privada,27,No,Ingenieria,103,82,79,12,Si,5k-10k,Si,Beca,Foraneo,Otros,Soltero,Ninguna,No,5,6,Si,Prestigio,No,No,Baja,10,Lectura,4,7,Prestigio,Si,No,No Aplica,0
Masculino,16,Urbana,Privada,39,No,Ciencias Sociales,84,62,66,18,No,10k-20k,No,Padres,Local,Otros,Soltero,Ninguna,Si,6,4,Si,Demanda Laboral,Si,No,Media,9,Tecnología,7,8,Renta Económica,No,No,No Aplica,0
Femenino,19,Urbana,Privada,43,No,Arte,83,81,64,15,Si,>20k,Si,Otro,Local,Familia,Soltero,Ninguna,No,6,5,Si,Demanda Laboral,Si,No,Media,7,Viajar,8,6,Influencia Familiar,No,No,No Aplica,0
Femenino,18,Rural,Publica,18,Si,Humanidades,85,73,53,13,No,10k-20k,Si,Padres,Local,Solo,Soltero,Ninguna,Si,5,7,No,Gusto Personal,Si,No,Baja,7,Lectura,10,6,Cercanía,Si,No,No Aplica,0
Masculino,22,Urbana,Privada,58,No,Ciencias Sociales,77,70,68,19,No,5k-10k,No,Otro,Foraneo,Otros,Soltero,Ninguna,Si,6,7,No,Gusto Personal,No,Si,Baja,9,Arte,4,9,Vocación,Si,Si,Otros,1
Masculino,22,Urbana,Privada,22,No,Ciencias Sociales,88,77,71,11,No,5k-10k,Si,Trabajo Propio,Local,Familia,Soltero,Ninguna,Si,7,6,Si,Amigos/Familia,No,No,Media,7,Lectura,6,4,Influencia Familiar,Si,No,No Aplica,0
Masculino,19,Urbana,Publica,30,Si,Humanidades,87,77,82,7,Si,<5k,No,Otro,Foraneo,Solo,Casado,Motriz,Si,4,3,Si,Sueldo,Si,Si,Alta,6,Deportes,6,12,Prestigio,Si,No,No Aplica,0
Masculino,22,Urbana,Privada,34,Si,Arte,71,93,61,7,No,5k-10k,No,Beca,Local,Solo,Soltero,Ninguna,Si,9,3,No,Prestigio,Si,Si,Media,8,Lectura,5,10,Vocación,No,Si,Problemas Familiares,1
Femenino,22,Urbana,Privada,19,No,Humanidades,78,76,82,14,Si,5k-10k,No,Trabajo Propio,Foraneo,Amigos,Soltero,Ninguna,No,5,6,Si,Sueldo,Si,No,Baja,6,Lectura,7,7,Influencia Familiar,No,No,No Aplica,0
Femenino,18,Urbana,Publica,45,Si,Ciencias Naturales,73,68,64,24,Si,5k-10k,Si,Trabajo Propio,Foraneo,Amigos,Soltero,Ninguna,No,3,3,Si,Amigos/Familia,No,No,Alta,5,Viajar,6,5,Renta Económica,No,Si,Cambio de Carrera,4
Masculino,19,Rural,Publica,32,No,Humanidades,84,70,56,10,Si,5k-10k,Si,Padres,Foraneo,Otros,Casado,Ninguna,No,8,4,Si,Sueldo,Si,No,Alta,7,Viajar,5,6,Prestigio,No,No,No Aplica,0
Femenino,21,Urbana,Publica,24,No,Ingenieria,83,85,71,22,Si,<5k,Si,Otro,Foraneo,Familia,Soltero,Ninguna,No,7,4,No,Demanda Laboral,No,Si,Alta,8,Deportes,3,6,Renta Económica,No,No,No Aplica,0
Femenino,22,Urbana,Publica,22,No,Humanidades,92,62,80,16,Si,5k-10k,No,Beca,Foraneo,Otros,Divorciado,Ninguna,No,5,6,Si,Prestigio,No,Si,Baja,9,Viajar,10,5,Prestigio,No,No,No Aplica,0
Femenino,24,Urbana,Privada,31,Si,Humanidades,62,75,71,22,No,10k-20k,No,Otro,Foraneo,Solo,Soltero,Ninguna,No,3,5,Si,Prestigio,Si,Si,Media,5,Arte,6,9,Renta Económica,No,No,No Aplica,0
Femenino,22,Rural,Privada,22,No,Ciencias Sociales,88,80,88,31,No,>20k,No,Beca,Foraneo,Otros,Soltero,Ninguna,Si,5,3,Si,Demanda Laboral,Si,Si,Alta,7,Viajar,6,5,Renta Económica,Si,Si,Otros,7
Masculino,20,Rural,Publica,44,Si,Humanidades,69,70,79,16,Si,5k-10k,No,Padres,Foraneo,Amigos,Casado,Ninguna,No,8,7,No,Prestigio,Si,Si,Alta,8,Viajar,8,4,Cercanía,Si,Si,Otros,6
Masculino,20,Urbana,Privada,55,Si,Ciencias Naturales,90,53,81,15,No,>20k,Si,Trabajo Propio,Local,Familia,Soltero,Ninguna,Si,5,8,No,Demanda Laboral,Si,Si,Alta,5,Arte,3,3,Vocación,No,No,No Aplica,0
Masculino,20,Urbana,Publica,34,Si,Ciencias Naturales,59,73,75,20,Si,<5k,Si,Padres,Local,Solo,Soltero,Cognitiva,Si,7,6,Si,Prestigio,Si,No,Baja,4,Viajar,3,9,Cercanía,Si,Si,Problemas Familiares,7
Femenino,18,Urbana,Privada,36,Si,Ciencias Naturales,88,84,70,21,Si,5k-10k,No,Otro,Local,Amigos,Soltero,Ninguna,Si,8,3,No,Gusto Personal,No,Si,Media,10,Viajar,5,7,Cercanía,No,No,No Aplica,0
Masculino,20,Urbana,Privada,29,Si,Ciencias Sociales,68,65,68,21,Si,<5k,No,Otro,Local,Otros,Soltero,Ninguna,Si,8,4,Si,Demanda Laboral,Si,Si,Media,8,Viajar,5,7,Renta Económica,No,Si,Problemas Familiares,5
Femenino,21,Urbana,Privada,15,No,Ciencias Naturales,63,75,62,14,Si,10k-20k,Si,Otro,Foraneo,Familia,Soltero,Ninguna,Si,5,6,Si,Demanda Laboral,Si,Si,Alta,7,Tecnología,3,10,Influencia Familiar,No,Si,Cambio de Carrera,8
Femenino,18,Rural,Privada,45,Si,Ciencias Naturales,82,82,55,17,Si,5k-10k,No,Padres,Foraneo,Familia,Divorciado,Ninguna,No,5,6,No,Sueldo,No,No,Media,7,Deportes,3,6,Vocación,Si,No,No Aplica,0
Masculino,16,Urbana,Privada,29,Si,Ciencias Sociales,82,63,81,16,No,10k-20k,No,Otro,Foraneo,Solo,Soltero,Motriz,Si,7,7,Si,Sueldo,No,No,Baja,1,Lectura,6,4,Vocación,Si,No,No Aplica,0
Femenino,23,Urbana,Publica,14,Si,Ciencias Naturales,75,74,68,10,Si,<5k,No,Otro,Foraneo,Amigos,Soltero,Cognitiva,Si,5,4,No,Amigos/Familia,No,No,Baja,9,Viajar,9,8,Cercanía,No,No,No Aplica,0
Femenino,19,Rural,Publica,41,No,Ciencias Naturales,76,68,62,20,No,<5k,Si,Otro,Foraneo,Otros,Soltero,Ninguna,Si,6,1,No,Prestigio,No,Si,Baja,8,Tecnología,5,5,Cercanía,No,Si,Problemas Académicos,3
Masculino,19,Urbana,Privada,42,No,Ingenieria,79,78,89,9,No,<5k,No,Beca,Foraneo,Otros,Soltero,Ninguna,No,5,7,Si,Amigos/Familia,Si,Si,Baja,7,Tecnología,3,8,Vocación,Si,No,No Aplica,0
Femenino,17,Rural,Privada,35,No,Ciencias Sociales,85,72,68,11,No,<5k,No,Beca,Foraneo,Amigos,Casado,Ninguna,Si,8,6,No,Demanda Laboral,Si,Si,Alta,5,Deportes,6,6,Renta Económica,Si,No,No Aplica,0
Femenino,18,Rural,Publica,26,No,Ingenieria,95,66,68,11,No,>20k,No,Trabajo Propio,Local,Amigos,Soltero,Ninguna,Si,6,7,Si,Sueldo,No,Si,Media,5,Lectura,3,7,Renta Económica,No,No,No Aplica,0
Femenino,20,Rural,Privada,32,Si,Ciencias Sociales,85,70,64,15,Si,<5k,No,Otro,Local,Amigos,Soltero,Ninguna,Si,3,7,No,Sueldo,No,No,Media,9,Viajar,5,8,Cercanía,No,Si,Problemas Económicos,4
Masculino,18,Urbana,Publica,48,Si,Ciencias Naturales,81,69,63,11,No,5k-10k,Si,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,Si,7,5,No,Gusto Personal,No,Si,Media,7,Lectura,8,8,Cercanía,No,No,No Aplica,0
Masculino,17,Urbana,Privada,30,No,Humanidades,85,81,74,16,No,5k-10k,No,Otro,Foraneo,Familia,Casado,Ninguna,Si,6,8,Si,Sueldo,Si,No,Media,8,Arte,2,8,Influencia Familiar,Si,No,No Aplica,0
Masculino,24,Urbana,Publica,37,Si,Ciencias Naturales,79,68,81,8,No,<5k,No,Otro,Local,Familia,Divorciado,Ninguna,Si,5,3,Si,Sueldo,Si,Si,Media,7,Viajar,5,8,Influencia Familiar,No,No,No Aplica,0
Femenino,20,Urbana,Privada,27,Si,Arte,64,73,82,15,No,<5k,Si,Padres,Local,Amigos,Soltero,Ninguna,No,7,5,No,Sueldo,No,Si,Baja,8,Tecnología,5,13,Influencia Familiar,No,No,No Aplica,0
Femenino,23,Rural,Publica,7,No,Arte,81,60,77,12,No,5k-10k,No,Otro,Local,Solo,Casado,Ninguna,Si,7,6,No,Prestigio,Si,No,Media,7,Arte,3,9,Cercanía,No,Si,Problemas Académicos,5
Femenino,21,Urbana,Privada,41,Si,Ciencias Sociales,66,68,78,18,Si,10k-20k,Si,Beca,Foraneo,Solo,Casado,Ninguna,No,7,5,No,Gusto Personal,Si,No,Media,9,Arte,3,10,Vocación,Si,No,No Aplica,0
Femenino,17,Urbana,Publica,19,Si,Ingenieria,74,68,69,22,Si,>20k,Si,Otro,Local,Solo,Soltero,Ninguna,Si,8,7,Si,Sueldo,No,Si,Baja,8,Arte,5,6,Renta Económica,Si,No,No Aplica,0
Masculino,20,Urbana,Privada,18,No,Humanidades,65,70,65,11,No,5k-10k,No,Trabajo Propio,Local,Solo,Soltero,Ninguna,No,4,6,Si,Amigos/Familia,No,No,Media,9,Lectura,2,9,Prestigio,No,No,No Aplica,0
Femenino,21,Rural,Publica,35,Si,Ciencias Sociales,86,85,51,21,No,10k-20k,Si,Padres,Local,Solo,Casado,Ninguna,Si,8,3,No,Sueldo,No,No,Media,4,Arte,6,8,Cercanía,Si,No,No Aplica,0
Masculino,22,Rural,Publica,23,No,Ingenieria,65,98,89,21,Si,10k-20k,No,Padres,Foraneo,Solo,Soltero,Ninguna,No,5,4,Si,Amigos/Familia,Si,No,Media,7,Deportes,6,11,Cercanía,No,No,No Aplica,0
Masculino,21,Urbana,Publica,26,No,Humanidades,83,89,71,11,Si,<5k,No,Padres,Foraneo,Amigos,Casado,Ninguna,Si,7,5,Si,Amigos/Familia,No,No,Alta,7,Viajar,0,4,Renta Económica,Si,No,No Aplica,0
Masculino,22,Urbana,Privada,39,Si,Ciencias Naturales,86,65,74,12,No,10k-20k,No,Trabajo Propio,Local,Amigos,Soltero,Ninguna,No,7,4,Si,Prestigio,No,No,Baja,9,Deportes,0,9,Vocación,No,Si,Cambio de Carrera,3
Masculino,20,Urbana,Publica,40,Si,Arte,85,86,73,27,Si,5k-10k,Si,Beca,Foraneo,Otros,Divorciado,Ninguna,No,8,4,No,Amigos/Familia,No,Si,Alta,9,Lectura,6,9,Influencia Familiar,Si,No,No Aplica,0
Femenino,18,Rural,Privada,13,Si,Ciencias Sociales,81,75,72,18,Si,<5k,No,Trabajo Propio,Local,Otros,Soltero,Ninguna,Si,6,6,No,Prestigio,Si,Si,Alta,7,Tecnología,3,5,Renta Económica,Si,No,No Aplica,0
Femenino,17,Urbana,Privada,25,Si,Ciencias Sociales,81,61,71,14,Si,5k-10k,No,Beca,Local,Otros,Casado,Ninguna,Si,8,5,Si,Prestigio,No,Si,Baja,6,Deportes,6,7,Influencia Familiar,Si,Si,Problemas Familiares,3
Masculino,18,Rural,Privada,33,No,Humanidades,77,77,74,20,Si,<5k,No,Trabajo Propio,Local,Familia,Casado,Ninguna,Si,3,6,No,Prestigio,Si,No,Media,8,Arte,3,6,Cercanía,No,No,No Aplica,0
Femenino,18,Rural,Publica,8,No,Arte,76,73,65,18,Si,<5k,Si,Otro,Local,Solo,Soltero,Ninguna,No,7,8,No,Gusto Personal,No,Si,Baja,6,Tecnología,7,8,Cercanía,No,No,No Aplica,0
Masculino,21,Rural,Publica,35,No,Ciencias Sociales,81,81,72,9,Si,<5k,Si,Otro,Local,Otros,Soltero,Ninguna,Si,5,4,No,Gusto Personal,Si,Si,Baja,10,Deportes,2,7,Vocación,No,No,No Aplica,0
Femenino,20,Urbana,Publica,16,Si,Humanidades,71,75,83,9,No,10k-20k,Si,Otro,Local,Solo,Soltero,Ninguna,No,4,5,No,Prestigio,No,No,Media,6,Lectura,7,8,Cercanía,No,No,No Aplica,0
Masculino,20,Urbana,Publica,9,No,Ciencias Naturales,80,66,83,16,No,<5k,No,Otro,Local,Amigos,Soltero,Ninguna,No,7,8,Si,Prestigio,Si,No,Alta,9,Arte,5,2,Cercanía,No,No,No Aplica,0
Femenino,23,Rural,Privada,40,No,Ciencias Sociales,55,81,64,12,No,10k-20k,No,Beca,Local,Solo,Soltero,Ninguna,No,6,6,No,Demanda Laboral,Si,Si,Media,8,Tecnología,6,9,Vocación,Si,No,No Aplica,0
Masculino,21,Rural,Privada,20,No,Humanidades,79,59,84,4,Si,10k-20k,No,Beca,Foraneo,Otros,Soltero,Ninguna,Si,7,6,Si,Sueldo,Si,No,Alta,4,Deportes,6,11,Vocación,No,No,No Aplica,0
Masculino,15,Urbana,Publica,37,No,Arte,84,75,79,12,Si,5k-10k,No,Otro,Local,Solo,Divorciado,Ninguna,No,5,2,No,Sueldo,No,Si,Alta,6,Deportes,4,9,Prestigio,Si,Si,Otros,3
Femenino,22,Rural,Privada,52,No,Arte,70,75,72,13,No,<5k,Si,Beca,Local,Amigos,Soltero,Ninguna,Si,9,9,No,Gusto Personal,Si,Si,Alta,7,Lectura,4,8,Renta Económica,Si,No,No Aplica,0
Femenino,21,Rural,Publica,30,No,Ciencias Naturales,58,83,72,20,No,<5k,Si,Padres,Foraneo,Amigos,Soltero,Ninguna,No,8,6,Si,Prestigio,No,No,Baja,6,Lectura,5,7,Vocación,Si,No,No Aplica,0
Femenino,21,Rural,Privada,47,No,Ciencias Sociales,102,78,71,4,Si,5k-10k,No,Trabajo Propio,Foraneo,Amigos,Soltero,Ninguna,Si,7,4,Si,Sueldo,No,Si,Alta,8,Deportes,4,9,Prestigio,No,Si,Problemas Económicos,6
Masculino,17,Urbana,Privada,25,No,Ciencias Naturales,81,83,75,18,Si,<5k,Si,Trabajo Propio,Local,Otros,Soltero,Ninguna,Si,5,7,No,Demanda Laboral,Si,No,Alta,4,Deportes,4,10,Influencia Familiar,No,No,No Aplica,0
Femenino,17,Urbana,Publica,29,Si,Ingenieria,83,86,88,20,Si,<5k,No,Padres,Foraneo,Solo,Soltero,Ninguna,Si,6,5,No,Demanda Laboral,Si,No,Baja,6,Tecnología,7,8,Prestigio,Si,Si,Problemas Económicos,3
Femenino,21,Rural,Privada,23,Si,Ciencias Sociales,80,89,76,14,No,<5k,No,Beca,Foraneo,Otros,Soltero,Ninguna,Si,6,7,Si,Gusto Personal,Si,No,Media,11,Tecnología,6,8,Cercanía,No,No,No Aplica,0
Masculino,21,Rural,Privada,37,No,Humanidades,75,70,66,11,Si,<5k,No,Padres,Local,Familia,Casado,Ninguna,No,3,5,No,Amigos/Familia,Si,No,Media,8,Tecnología,3,10,Vocación,No,Si,Problemas Académicos,6
Femenino,21,Rural,Publica,34,No,Humanidades,80,63,65,19,Si,5k-10k,Si,Otro,Local,Solo,Soltero,Ninguna,Si,6,2,Si,Sueldo,Si,Si,Alta,8,Deportes,2,9,Vocación,Si,No,No Aplica,0
Femenino,23,Rural,Privada,44,No,Ciencias Sociales,80,91,72,17,Si,>20k,No,Padres,Foraneo,Solo,Soltero,Ninguna,Si,6,3,No,Gusto Personal,No,Si,Baja,8,Tecnología,3,8,Renta Económica,No,No,No Aplica,0
Masculino,21,Urbana,Privada,47,No,Ciencias Naturales,65,77,73,18,Si,5k-10k,No,Padres,Local,Solo,Soltero,Ninguna,No,5,8,Si,Gusto Personal,No,No,Alta,10,Arte,-1,12,Cercanía,No,No,No Aplica,0
Femenino,25,Rural,Publica,22,Si,Ciencias Sociales,86,78,56,13,Si,5k-10k,Si,Padres,Foraneo,Amigos,Casado,Ninguna,No,4,8,Si,Gusto Personal,Si,No,Baja,7,Viajar,5,8,Prestigio,No,No,No Aplica,0
Masculino,23,Rural,Publica,30,Si,Humanidades,90,86,60,21,Si,<5k,No,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,Si,5,4,Si,Sueldo,Si,No,Alta,8,Deportes,8,7,Influencia Familiar,Si,No,No Aplica,0
Masculino,20,Urbana,Publica,45,Si,Ciencias Sociales,88,63,78,14,No,10k-20k,Si,Otro,Local,Solo,Soltero,Ninguna,No,4,6,No,Gusto Personal,No,Si,Baja,5,Lectura,8,10,Renta Económica,No,Si,Problemas Económicos,7
Masculino,22,Urbana,Privada,48,No,Ingenieria,82,73,52,21,No,5k-10k,No,Trabajo Propio,Local,Otros,Soltero,Ninguna,No,7,3,No,Sueldo,No,Si,Media,7,Arte,4,8,Influencia Familiar,Si,No,No Aplica,0
Femenino,20,Urbana,Publica,28,Si,Ciencias Naturales,78,90,58,17,No,5k-10k,No,Trabajo Propio,Foraneo,Familia,Casado,Ninguna,Si,6,5,Si,Gusto Personal,Si,Si,Media,4,Lectura,6,10,Prestigio,Si,No,No Aplica,0
Masculino,21,Urbana,Publica,17,Si,Ciencias Naturales,56,72,63,11,Si,<5k,Si,Otro,Local,Otros,Soltero,Visual,No,8,3,No,Prestigio,No,Si,Media,9,Tecnología,4,6,Vocación,Si,Si,Cambio de Carrera,7
Masculino,19,Rural,Publica,44,No,Ingenieria,69,79,66,18,No,5k-10k,Si,Padres,Local,Otros,Soltero,Ninguna,Si,6,5,Si,Sueldo,No,Si,Media,7,Lectura,5,10,Cercanía,No,No,No Aplica,0
Masculino,19,Urbana,Publica,29,No,Ciencias Naturales,80,79,54,14,No,10k-20k,No,Otro,Local,Solo,Soltero,Ninguna,No,6,4,Si,Demanda Laboral,No,Si,Baja,6,Arte,6,6,Cercanía,No,No,No Aplica,0
Femenino,21,Urbana,Publica,29,Si,Ciencias Naturales,89,73,60,9,No,>20k,Si,Padres,Foraneo,Amigos,Casado,Ninguna,No,5,8,Si,Gusto Personal,No,Si,Baja,6,Arte,0,5,Prestigio,Si,No,No Aplica,0
Masculino,23,Urbana,Publica,25,Si,Arte,72,72,66,15,No,<5k,No,Trabajo Propio,Foraneo,Solo,Soltero,Ninguna,Si,7,7,Si,Demanda Laboral,Si,No,Alta,9,Viajar,7,8,Prestigio,Si,Si,Problemas Familiares,1
Masculino,21,Rural,Privada,43,No,Humanidades,61,83,67,18,Si,5k-10k,No,Otro,Local,Familia,Soltero,Ninguna,Si,6,2,Si,Sueldo,No,No,Baja,8,Viajar,5,9,Prestigio,No,No,No Aplica,0
Femenino,21,Urbana,Publica,29,No,Humanidades,90,72,86,21,No,5k-10k,No,Trabajo Propio,Local,Familia,Soltero,Ninguna,Si,8,7,No,Demanda Laboral,Si,No,Media,6,Viajar,5,9,Cercanía,No,No,No Aplica,0
Masculino,21,Rural,Publica,17,No,Ciencias Sociales,103,81,79,16,Si,<5k,No,Beca,Foraneo,Otros,Soltero,Ninguna,Si,6,6,Si,Sueldo,Si,Si,Alta,3,Deportes,4,7,Cercanía,Si,No,No Aplica,0
Femenino,19,Rural,Publica,23,Si,Ciencias Naturales,85,86,83,19,No,5k-10k,No,Padres,Foraneo,Familia,Soltero,Ninguna,No,8,6,No,Amigos/Familia,No,No,Alta,9,Arte,4,8,Cercanía,No,No,No Aplica,0
Masculino,20,Rural,Publica,29,No,Ciencias Sociales,87,73,79,10,No,>20k,No,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,No,2,6,Si,Sueldo,Si,No,Media,6,Lectura,3,6,Prestigio,No,No,No Aplica,0
Femenino,17,Rural,Privada,19,Si,Humanidades,82,93,70,20,No,5k-10k,No,Otro,Foraneo,Otros,Soltero,Ninguna,Si,4,8,No,Sueldo,No,No,Alta,9,Tecnología,7,4,Renta Económica,Si,No,No Aplica,0
Femenino,20,Urbana,Privada,41,Si,Ciencias Naturales,104,61,72,10,No,<5k,Si,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,Si,4,6,Si,Amigos/Familia,Si,Si,Alta,6,Deportes,9,7,Renta Económica,Si,No,No Aplica,0
Femenino,19,Urbana,Privada,10,No,Ciencias Naturales,81,82,84,16,No,10k-20k,No,Beca,Foraneo,Amigos,Soltero,Cognitiva,Si,9,5,Si,Prestigio,Si,No,Media,12,Lectura,7,6,Renta Económica,No,No,No Aplica,0
Masculino,20,Urbana,Privada,32,No,Ciencias Sociales,104,67,73,12,Si,10k-20k,Si,Padres,Foraneo,Solo,Casado,Ninguna,No,5,4,No,Amigos/Familia,No,No,Baja,9,Tecnología,2,5,Influencia Familiar,Si,Si,Problemas Académicos,4
Femenino,18,Rural,Privada,33,Si,Ingenieria,85,78,68,17,No,5k-10k,No,Otro,Local,Otros,Soltero,Motriz,Si,5,5,No,Prestigio,Si,No,Alta,7,Deportes,5,7,Renta Económica,No,No,No Aplica,0
Femenino,18,Rural,Privada,27,No,Ingenieria,71,64,49,17,Si,<5k,Si,Otro,Local,Familia,Soltero,Ninguna,Si,7,3,No,Amigos/Familia,Si,Si,Media,5,Lectura,4,7,Vocación,Si,No,No Aplica,0
Femenino,19,Rural,Publica,42,No,Ciencias Sociales,80,82,74,16,Si,<5k,No,Beca,Foraneo,Amigos,Soltero,Ninguna,Si,4,7,No,Sueldo,No,No,Baja,12,Tecnología,5,6,Vocación,No,Si,Cambio de Carrera,7
Masculino,22,Urbana,Privada,16,Si,Arte,75,72,77,8,Si,5k-10k,Si,Padres,Local,Solo,Soltero,Motriz,No,6,4,Si,Demanda Laboral,Si,Si,Alta,7,Tecnología,5,9,Vocación,No,No,No Aplica,0
Femenino,21,Rural,Privada,23,No,Ingenieria,99,88,71,18,No,<5k,No,Otro,Local,Familia,Divorciado,Ninguna,Si,3,4,Si,Demanda Laboral,Si,Si,Baja,7,Lectura,5,5,Vocación,No,No,No Aplica,0
Femenino,23,Urbana,Privada,29,Si,Ciencias Naturales,70,65,77,12,Si,>20k,Si,Otro,Foraneo,Otros,Soltero,Ninguna,Si,6,3,Si,Prestigio,No,Si,Alta,8,Tecnología,8,8,Cercanía,Si,No,No Aplica,0
Masculino,20,Urbana,Publica,26,No,Arte,83,83,79,19,Si,10k-20k,Si,Padres,Foraneo,Amigos,Soltero,Ninguna,No,8,3,No,Demanda Laboral,No,No,Alta,8,Viajar,4,7,Prestigio,No,No,No Aplica,0
Masculino,17,Urbana,Publica,25,No,Ciencias Sociales,90,72,82,16,No,5k-10k,No,Trabajo Propio,Foraneo,Familia,Casado,Ninguna,No,6,4,Si,Amigos/Familia,Si,Si,Media,8,Viajar,8,7,Cercanía,Si,No,No Aplica,0
Femenino,21,Urbana,Publica,28,No,Ciencias Sociales,76,62,51,13,Si,<5k,No,Otro,Foraneo,Familia,Soltero,Ninguna,No,6,6,Si,Amigos/Familia,Si,No,Alta,8,Tecnología,5,6,Cercanía,Si,Si,Problemas Académicos,4
Masculino,19,Rural,Publica,32,Si,Ingenieria,81,60,78,9,No,>20k,No,Trabajo Propio,Local,Solo,Soltero,Ninguna,Si,5,9,Si,Amigos/Familia,Si,Si,Media,6,Viajar,3,5,Vocación,No,No,No Aplica,0
Masculino,18,Rural,Publica,22,No,Ciencias Naturales,80,69,68,7,Si,>20k,No,Padres,Local,Amigos,Soltero,Ninguna,Si,8,7,No,Demanda Laboral,No,No,Baja,8,Viajar,3,6,Renta Económica,Si,No,No Aplica,0
Femenino,22,Rural,Privada,41,Si,Arte,86,78,51,7,Si,5k-10k,No,Otro,Local,Otros,Soltero,Ninguna,No,5,7,Si,Amigos/Familia,No,Si,Baja,8,Tecnología,4,8,Cercanía,Si,Si,Cambio de Carrera,5
Masculino,21,Urbana,Publica,39,No,Humanidades,77,67,68,17,No,10k-20k,No,Beca,Local,Solo,Soltero,Ninguna,Si,6,8,Si,Gusto Personal,No,Si,Baja,6,Viajar,4,4,Prestigio,No,Si,Problemas Familiares,7
Femenino,20,Rural,Publica,32,Si,Ingenieria,82,76,71,16,No,10k-20k,No,Beca,Foraneo,Familia,Soltero,Ninguna,Si,6,3,No,Demanda Laboral,Si,No,Alta,9,Viajar,4,6,Renta Económica,Si,No,No Aplica,0
Femenino,21,Rural,Publica,27,Si,Ingenieria,81,77,84,12,No,5k-10k,Si,Otro,Local,Otros,Soltero,Ninguna,No,10,7,No,Amigos/Familia,No,No,Alta,10,Viajar,4,12,Vocación,No,No,No Aplica,0
Masculino,24,Urbana,Publica,31,No,Ciencias Sociales,62,71,66,26,No,<5k,No,Trabajo Propio,Local,Familia,Soltero,Auditiva,Si,5,5,No,Demanda Laboral,Si,Si,Baja,7,Lectura,5,4,Influencia Familiar,Si,No,No Aplica,0
Femenino,18,Rural,Privada,29,No,Ingenieria,67,71,75,9,Si,<5k,No,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,No,6,3,No,Demanda Laboral,Si,Si,Media,5,Lectura,3,9,Cercanía,Si,No,No Aplica,0
Masculino,15,Rural,Publica,41,No,Humanidades,64,69,81,10,Si,10k-20k,Si,Trabajo Propio,Local,Solo,Soltero,Ninguna,No,4,7,No,Gusto Personal,No,No,Media,5,Lectura,5,9,Cercanía,No,No,No Aplica,0
Masculino,22,Rural,Publica,22,Si,Arte,88,71,89,19,No,>20k,No,Padres,Local,Familia,Soltero,Motriz,No,6,4,Si,Prestigio,No,No,Alta,5,Arte,5,5,Prestigio,Si,Si,Problemas Familiares,2
Femenino,22,Urbana,Privada,18,No,Ciencias Naturales,74,86,86,25,No,<5k,No,Padres,Foraneo,Solo,Soltero,Ninguna,No,7,5,No,Prestigio,No,Si,Media,2,Tecnología,3,6,Prestigio,Si,No,No Aplica,0
Femenino,17,Rural,Publica,34,No,Arte,64,80,70,14,Si,>20k,No,Otro,Foraneo,Solo,Soltero,Ninguna,No,6,6,Si,Amigos/Familia,Si,No,Baja,10,Deportes,4,9,Vocación,Si,Si,Problemas Familiares,7
Masculino,21,Rural,Publica,18,No,Ciencias Naturales,80,74,72,23,No,5k-10k,Si,Beca,Local,Otros,Soltero,Ninguna,Si,5,5,No,Amigos/Familia,No,Si,Alta,9,Deportes,7,6,Influencia Familiar,Si,No,No Aplica,0
Femenino,23,Rural,Publica,27,Si,Ciencias Naturales,77,80,72,10,Si,10k-20k,No,Trabajo Propio,Local,Amigos,Soltero,Ninguna,Si,8,3,Si,Amigos/Familia,No,No,Baja,8,Lectura,6,3,Cercanía,Si,No,No Aplica,0
Masculino,19,Rural,Privada,27,No,Arte,84,77,69,22,Si,5k-10k,Si,Otro,Local,Otros,Soltero,Ninguna,No,5,7,No,Gusto Personal,No,No,Media,4,Tecnología,7,5,Influencia Familiar,Si,No,No Aplica,0
