genero,edad,ubicacion,tipo_escuela,transporte_a_la_escuela,area_de_la_carrera,promedio_inicial,promedio_medio,promedio_final,horas_estudio_semanal,otra_carrera_previa,nivel_ingresos_rango,trabaja,apoyo_economico,foraneo_o_local,con_quien_vive,estado_civil,discapacidad,problemas_socioeconomicos,horas_sueño,nivel_estres_percibido,recibio_orientacion_vocacional,razon_principal_eleccion_carrera,problemas_familiares,problemas_psicologicos,nivel_de_satisfaccion,hobbies,amigos_cercanos,motivo_eleccion_carrera,expectativas_cumplidas,deserto
Femenino,19,Urbana,Publica,39,Arte,92,68,91,19,Si,5k-10k,No,Padres,Local,Amigos,Casado,Ninguna,Si,8,2,No,Demanda Laboral,No,No,1,Arte,3,Vocación,Si,No
Femenino,21,Urbana,Publica,8,Ciencias Naturales,84,60,59,10,No,<5k,Si,Beca,Local,Solo,Soltero,Ninguna,Si,6,3,No,Sueldo,No,No,4,Arte,7,Influencia Familiar,No,No
Masculino,18,Rural,Privada,41,Ciencias Naturales,75,65,63,10,No,5k-10k,No,Trabajo Propio,Local,Otros,Soltero,Ninguna,Si,3,2,No,Sueldo,No,Si,3,Viajar,5,Influencia Familiar,Si,Si
Masculino,22,Rural,Privada,51,Ciencias Sociales,61,70,78,13,No,5k-10k,No,Padres,Local,Familia,Soltero,Ninguna,No,7,3,Si,Gusto Personal,Si,No,3,Arte,7,Renta Económica,No,No
Femenino,18,Urbana,Privada,31,Humanidades,80,68,75,14,No,5k-10k,No,Padres,Local,Solo,Soltero,Ninguna,Si,7,2,No,Prestigio,Si,No,4,Deportes,9,Prestigio,No,No
Femenino,22,Urbana,Privada,34,Ingenieria,88,86,54,15,No,<5k,Si,Otro,Local,Amigos,Soltero,Ninguna,Si,5,2,Si,Amigos/Familia,Si,Si,3,Deportes,4,Influencia Familiar,No,No
Masculino,19,Rural,Privada,45,Ciencias Naturales,75,76,63,21,Si,<5k,No,Padres,Local,Otros,Soltero,Ninguna,No,5,3,No,Demanda Laboral,No,Si,3,Viajar,9,Prestigio,No,No
Masculino,20,Urbana,Privada,25,Ciencias Sociales,93,83,66,14,Si,5k-10k,Si,Beca,Local,Amigos,Soltero,Ninguna,No,5,2,Si,Amigos/Familia,No,No,4,Tecnología,5,Renta Económica,Si,No
Masculino,20,Urbana,Privada,27,Ingenieria,83,78,68,8,Si,>20k,Si,Beca,Foraneo,Solo,Soltero,Ninguna,Si,7,3,Si,Prestigio,Si,Si,4,Tecnología,9,Prestigio,No,Si
Masculino,19,Urbana,Privada,56,Ciencias Naturales,90,77,78,16,Si,<5k,No,Otro,Local,Solo,Soltero,Ninguna,Si,7,3,Si,Amigos/Familia,No,No,2,Arte,5,Influencia Familiar,No,No
Masculino,19,Rural,Privada,29,Humanidades,80,79,55,23,No,5k-10k,Si,Padres,Local,Familia,Soltero,Visual,Si,6,2,Si,Demanda Laboral,Si,Si,4,Tecnología,2,Cercanía,Si,Si
Masculino,21,Urbana,Publica,39,Ciencias Naturales,72,69,57,21,Si,5k-10k,Si,Padres,Foraneo,Otros,Soltero,Auditiva,Si,4,4,No,Amigos/Familia,Si,Si,3,Deportes,2,Vocación,No,No
Femenino,18,Urbana,Privada,17,Ingenieria,74,77,61,17,Si,<5k,No,Trabajo Propio,Foraneo,Amigos,Soltero,Ninguna,No,7,2,No,Demanda Laboral,No,No,3,Lectura,5,Renta Económica,No,No
Masculino,23,Urbana,Publica,39,Ciencias Naturales,76,67,65,14,No,5k-10k,No,Trabajo Propio,Local,Amigos,Soltero,Ninguna,No,4,0,No,Amigos/Familia,Si,No,4,Lectura,6,Cercanía,No,No
Masculino,21,Rural,Privada,24,Ciencias Naturales,78,73,67,16,Si,10k-20k,No,Trabajo Propio,Foraneo,Amigos,Divorciado,Ninguna,No,4,4,No,Sueldo,Si,Si,5,Lectura,7,Influencia Familiar,No,No
Femenino,22,Rural,Privada,8,Ingenieria,69,69,56,16,No,5k-10k,No,Beca,Foraneo,Otros,Soltero,Ninguna,Si,4,1,Si,Prestigio,No,Si,3,Deportes,2,Cercanía,No,No
Femenino,20,Urbana,Privada,28,Ciencias Sociales,78,85,51,20,Si,<5k,Si,Otro,Local,Amigos,Soltero,Ninguna,No,7,1,No,Demanda Laboral,Si,No,4,Viajar,6,Vocación,Si,No
Femenino,21,Rural,Publica,32,Arte,80,90,76,18,Si,>20k,No,Padres,Foraneo,Familia,Soltero,Ninguna,No,8,2,No,Gusto Personal,Si,No,2,Viajar,7,Prestigio,Si,No
Femenino,21,Urbana,Publica,20,Arte,75,82,66,5,No,5k-10k,No,Trabajo Propio,Local,Familia,Soltero,Ninguna,Si,6,1,No,Gusto Personal,No,No,3,Arte,4,Cercanía,No,No
Femenino,18,Urbana,Publica,27,Ingenieria,92,82,68,13,Si,<5k,Si,Trabajo Propio,Local,Otros,Soltero,Ninguna,No,7,1,Si,Sueldo,No,No,4,Deportes,7,Prestigio,No,No
Masculino,19,Rural,Privada,31,Ciencias Sociales,84,72,72,12,Si,5k-10k,No,Beca,Local,Solo,Casado,Ninguna,No,3,2,No,Demanda Laboral,No,No,1,Deportes,4,Vocación,Si,No
Femenino,21,Urbana,Privada,37,Humanidades,88,82,66,22,Si,>20k,No,Otro,Foraneo,Familia,Casado,Ninguna,Si,7,1,Si,Amigos/Familia,No,Si,1,Viajar,4,Cercanía,Si,Si
Masculino,21,Rural,Privada,38,Ciencias Naturales,80,90,60,21,Si,5k-10k,No,Otro,Foraneo,Solo,Soltero,Ninguna,Si,5,3,No,Amigos/Familia,Si,Si,3,Lectura,8,Influencia Familiar,No,No
Femenino,20,Rural,Privada,28,Arte,84,72,66,14,Si,10k-20k,Si,Trabajo Propio,Foraneo,Solo,Soltero,Ninguna,No,6,1,No,Amigos/Familia,No,Si,3,Viajar,9,Renta Económica,No,No
Masculino,21,Urbana,Publica,24,Arte,88,82,66,10,No,<5k,Si,Otro,Foraneo,Familia,Soltero,Ninguna,No,3,4,Si,Amigos/Familia,No,Si,2,Viajar,5,Vocación,Si,No
Masculino,21,Rural,Publica,31,Arte,86,72,59,19,Si,<5k,No,Padres,Foraneo,Amigos,Soltero,Ninguna,No,8,3,Si,Demanda Laboral,Si,No,4,Lectura,4,Cercanía,No,Si
Femenino,21,Rural,Publica,28,Humanidades,71,70,66,10,Si,>20k,Si,Beca,Foraneo,Familia,Divorciado,Ninguna,Si,5,3,No,Amigos/Familia,Si,No,2,Deportes,8,Cercanía,Si,Si
Femenino,20,Urbana,Publica,44,Ciencias Naturales,74,92,78,22,Si,5k-10k,No,Otro,Local,Familia,Soltero,Ninguna,No,7,3,No,Sueldo,No,Si,5,Viajar,3,Cercanía,Si,No
Femenino,20,Rural,Privada,8,Humanidades,68,85,81,12,No,10k-20k,Si,Beca,Foraneo,Amigos,Soltero,Ninguna,Si,6,3,No,Amigos/Familia,Si,No,4,Arte,8,Vocación,No,No
Femenino,18,Urbana,Publica,19,Humanidades,73,87,70,19,No,5k-10k,No,Beca,Local,Otros,Divorciado,Visual,No,7,1,Si,Prestigio,Si,No,3,Tecnología,5,Vocación,No,Si
Masculino,23,Rural,Publica,30,Ingenieria,83,66,63,25,No,10k-20k,No,Beca,Foraneo,Otros,Soltero,Ninguna,Si,6,3,Si,Demanda Laboral,Si,No,4,Viajar,6,Prestigio,No,No
Femenino,18,Urbana,Privada,39,Ciencias Sociales,85,67,74,8,Si,<5k,No,Padres,Foraneo,Amigos,Soltero,Visual,No,5,3,No,Demanda Laboral,No,Si,4,Tecnología,6,Renta Económica,Si,Si
Masculino,21,Rural,Publica,43,Humanidades,70,91,57,10,No,>20k,Si,Padres,Foraneo,Otros,Soltero,Ninguna,Si,3,4,Si,Amigos/Familia,No,No,4,Viajar,4,Influencia Familiar,No,Si
Masculino,20,Urbana,Privada,37,Arte,63,96,81,18,No,5k-10k,No,Beca,Foraneo,Familia,Soltero,Ninguna,Si,8,2,No,Demanda Laboral,Si,No,3,Deportes,4,Cercanía,Si,No
Masculino,20,Rural,Privada,38,Arte,76,82,68,21,Si,<5k,Si,Trabajo Propio,Local,Solo,Divorciado,Ninguna,No,8,3,Si,Amigos/Familia,Si,Si,4,Tecnología,10,Renta Económica,Si,Si
Masculino,19,Rural,Publica,41,Humanidades,93,82,71,16,Si,<5k,No,Trabajo Propio,Foraneo,Familia,Casado,Ninguna,No,6,1,No,Demanda Laboral,No,Si,2,Tecnología,4,Influencia Familiar,No,Si
Femenino,21,Rural,Privada,30,Ciencias Naturales,70,72,78,17,Si,<5k,No,Beca,Local,Solo,Soltero,Ninguna,Si,6,3,Si,Amigos/Familia,Si,Si,4,Tecnología,6,Cercanía,Si,No
Masculino,19,Urbana,Publica,17,Ingenieria,81,63,78,18,No,5k-10k,No,Beca,Foraneo,Solo,Divorciado,Ninguna,Si,7,3,Si,Amigos/Familia,Si,No,2,Arte,3,Cercanía,No,No
Femenino,23,Urbana,Privada,44,Ciencias Naturales,81,75,71,17,No,5k-10k,Si,Padres,Local,Solo,Divorciado,Ninguna,Si,6,4,No,Sueldo,Si,No,4,Lectura,8,Prestigio,Si,No
Femenino,20,Urbana,Privada,30,Arte,84,91,71,6,Si,>20k,No,Trabajo Propio,Local,Otros,Casado,Ninguna,Si,4,1,No,Prestigio,Si,Si,3,Tecnología,7,Vocación,Si,No
Masculino,21,Rural,Privada,20,Humanidades,80,80,68,23,No,5k-10k,Si,Beca,Local,Amigos,Soltero,Visual,Si,7,3,Si,Demanda Laboral,Si,Si,3,Arte,2,Influencia Familiar,Si,Si
Femenino,19,Urbana,Privada,35,Arte,73,86,71,21,No,10k-20k,Si,Otro,Local,Otros,Divorciado,Ninguna,No,7,0,Si,Prestigio,No,No,4,Arte,2,Vocación,Si,No
Femenino,20,Rural,Publica,24,Humanidades,79,68,69,17,Si,5k-10k,No,Beca,Local,Familia,Soltero,Ninguna,Si,5,2,No,Amigos/Familia,Si,No,4,Tecnología,5,Influencia Familiar,No,Si
Masculino,20,Urbana,Privada,10,Arte,62,81,59,16,No,5k-10k,Si,Padres,Local,Otros,Soltero,Motriz,Si,5,2,Si,Prestigio,No,Si,3,Viajar,4,Influencia Familiar,Si,No
Femenino,22,Rural,Privada,4,Ingenieria,89,71,71,17,Si,<5k,No,Padres,Foraneo,Familia,Soltero,Ninguna,No,8,4,No,Sueldo,Si,No,3,Tecnología,4,Renta Económica,Si,No
Masculino,21,Rural,Publica,34,Ciencias Sociales,84,68,76,14,No,5k-10k,No,Padres,Local,Familia,Casado,Ninguna,Si,5,3,No,Amigos/Familia,No,No,3,Viajar,7,Influencia Familiar,Si,Si
Masculino,21,Rural,Privada,33,Ciencias Sociales,83,76,48,17,No,<5k,Si,Beca,Foraneo,Solo,Soltero,Ninguna,Si,5,1,Si,Sueldo,No,No,5,Deportes,8,Influencia Familiar,Si,No
Masculino,23,Urbana,Publica,31,Ciencias Sociales,85,59,84,11,No,5k-10k,Si,Otro,Local,Solo,Divorciado,Ninguna,Si,7,2,No,Prestigio,No,Si,2,Arte,6,Cercanía,No,No
Femenino,18,Urbana,Publica,27,Ciencias Sociales,78,67,70,8,No,<5k,No,Padres,Local,Solo,Casado,Ninguna,No,4,5,Si,Amigos/Familia,Si,No,4,Lectura,3,Cercanía,No,Si
Femenino,18,Urbana,Publica,35,Ingenieria,70,77,83,15,No,5k-10k,No,Otro,Local,Solo,Soltero,Ninguna,Si,7,1,No,Sueldo,Si,Si,4,Tecnología,6,Prestigio,No,No
Masculino,21,Urbana,Privada,12,Ciencias Sociales,67,83,52,20,No,5k-10k,No,Otro,Local,Otros,Casado,Visual,Si,5,2,Si,Amigos/Familia,Si,Si,4,Deportes,4,Influencia Familiar,Si,No
Masculino,19,Urbana,Privada,18,Arte,75,75,76,22,No,10k-20k,No,Beca,Local,Amigos,Soltero,Ninguna,Si,6,2,No,Amigos/Familia,No,No,4,Viajar,3,Cercanía,Si,No
Femenino,19,Rural,Privada,29,Humanidades,100,70,88,18,Si,10k-20k,No,Beca,Local,Amigos,Casado,Auditiva,No,5,3,No,Sueldo,Si,Si,3,Deportes,6,Prestigio,No,Si
Masculino,21,Urbana,Privada,20,Ingenieria,75,63,53,14,No,10k-20k,Si,Padres,Local,Familia,Casado,Ninguna,Si,9,3,No,Sueldo,Si,Si,2,Tecnología,3,Renta Económica,No,No
Masculino,21,Urbana,Publica,30,Ciencias Naturales,71,82,65,20,Si,<5k,No,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,Si,6,2,Si,Amigos/Familia,No,No,3,Tecnología,7,Prestigio,Si,No
Femenino,24,Urbana,Privada,34,Ciencias Naturales,79,63,85,20,No,10k-20k,Si,Padres,Foraneo,Familia,Soltero,Motriz,Si,8,5,Si,Sueldo,No,Si,5,Viajar,3,Cercanía,No,No
Masculino,18,Rural,Publica,49,Ciencias Sociales,88,71,73,10,Si,10k-20k,No,Padres,Foraneo,Otros,Soltero,Ninguna,Si,5,2,No,Demanda Laboral,Si,Si,4,Tecnología,0,Renta Económica,No,Si
Femenino,19,Urbana,Publica,54,Ciencias Sociales,81,75,78,16,Si,10k-20k,No,Otro,Foraneo,Otros,Soltero,Ninguna,No,6,3,Si,Gusto Personal,No,Si,3,Lectura,0,Renta Económica,Si,No
Femenino,21,Urbana,Privada,27,Ciencias Naturales,79,100,84,18,No,>20k,No,Beca,Local,Solo,Soltero,Ninguna,Si,4,1,Si,Prestigio,No,No,2,Arte,4,Vocación,No,No
Femenino,20,Rural,Privada,29,Ciencias Naturales,93,75,58,21,No,<5k,No,Beca,Foraneo,Amigos,Soltero,Ninguna,No,6,4,No,Prestigio,No,No,4,Lectura,8,Prestigio,No,No
Masculino,21,Rural,Privada,20,Humanidades,75,69,54,23,No,5k-10k,No,Otro,Foraneo,Otros,Soltero,Ninguna,Si,7,2,Si,Sueldo,No,Si,5,Tecnología,7,Prestigio,No,No
Femenino,22,Rural,Privada,32,Ciencias Sociales,77,76,75,14,Si,<5k,No,Beca,Local,Amigos,Soltero,Ninguna,No,6,3,No,Demanda Laboral,No,Si,3,Arte,4,Influencia Familiar,Si,Si
Masculino,22,Rural,Privada,17,Ciencias Sociales,86,81,70,18,No,10k-20k,No,Padres,Local,Familia,Soltero,Ninguna,No,6,1,No,Demanda Laboral,No,No,3,Arte,7,Renta Económica,Si,No
Masculino,18,Urbana,Privada,42,Arte,79,87,75,16,No,<5k,No,Beca,Local,Amigos,Divorciado,Ninguna,Si,6,1,Si,Prestigio,Si,Si,5,Tecnología,4,Influencia Familiar,No,No
Masculino,21,Rural,Publica,40,Ciencias Naturales,85,64,86,15,Si,<5k,No,Trabajo Propio,Local,Familia,Soltero,Ninguna,No,6,1,Si,Demanda Laboral,Si,No,3,Viajar,5,Cercanía,Si,No
Femenino,19,Rural,Privada,32,Humanidades,87,82,74,13,Si,<5k,Si,Otro,Foraneo,Familia,Soltero,Ninguna,No,4,4,No,Prestigio,No,Si,5,Arte,4,Cercanía,Si,No
Femenino,22,Rural,Privada,33,Ciencias Sociales,75,85,63,19,No,10k-20k,No,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,No,7,2,Si,Sueldo,Si,Si,4,Lectura,4,Vocación,No,Si
Femenino,22,Rural,Privada,35,Ingenieria,75,79,83,16,No,5k-10k,Si,Beca,Local,Amigos,Soltero,Ninguna,No,7,1,Si,Sueldo,Si,No,1,Viajar,5,Prestigio,Si,No
Masculino,21,Urbana,Publica,37,Ciencias Sociales,80,77,58,14,Si,5k-10k,Si,Otro,Foraneo,Otros,Soltero,Ninguna,Si,4,1,Si,Sueldo,Si,No,5,Lectura,5,Cercanía,Si,Si
Masculino,21,Rural,Privada,23,Ciencias Sociales,73,73,69,18,No,>20k,No,Beca,Foraneo,Familia,Soltero,Ninguna,Si,5,2,No,Prestigio,No,Si,5,Arte,4,Cercanía,No,No
Masculino,22,Urbana,Privada,15,Arte,95,72,64,7,Si,<5k,No,Otro,Foraneo,Otros,Divorciado,Ninguna,No,6,2,Si,Sueldo,Si,No,2,Arte,9,Vocación,No,No
Femenino,18,Urbana,Privada,19,Ciencias Sociales,84,84,84,16,Si,>20k,No,Trabajo Propio,Local,Amigos,Soltero,Visual,Si,4,3,Si,Prestigio,Si,Si,2,Tecnología,2,Influencia Familiar,No,No
Femenino,20,Urbana,Privada,16,Arte,67,69,59,18,No,>20k,No,Trabajo Propio,Local,Familia,Soltero,Ninguna,No,4,2,No,Sueldo,No,No,3,Lectura,5,Prestigio,Si,No
Masculino,22,Rural,Publica,20,Ciencias Naturales,62,72,61,26,Si,<5k,No,Padres,Local,Otros,Soltero,Ninguna,Si,6,3,Si,Gusto Personal,Si,Si,3,Tecnología,4,Renta Económica,No,No
Femenino,18,Rural,Privada,38,Ciencias Naturales,79,74,78,8,No,5k-10k,No,Otro,Foraneo,Familia,Soltero,Ninguna,No,3,1,No,Prestigio,No,Si,3,Tecnología,3,Renta Económica,No,Si
Masculino,20,Urbana,Publica,47,Ciencias Naturales,77,73,74,12,Si,>20k,No,Beca,Foraneo,Solo,Soltero,Ninguna,Si,7,3,Si,Sueldo,Si,No,1,Lectura,4,Influencia Familiar,Si,No
Femenino,22,Urbana,Publica,32,Humanidades,66,66,82,15,Si,5k-10k,Si,Otro,Local,Solo,Soltero,Ninguna,Si,7,2,No,Gusto Personal,No,No,3,Deportes,5,Vocación,Si,No
Femenino,20,Urbana,Privada,31,Humanidades,77,57,75,17,Si,10k-20k,Si,Padres,Foraneo,Otros,Soltero,Ninguna,Si,3,4,Si,Sueldo,Si,No,3,Deportes,5,Prestigio,Si,No
Masculino,18,Urbana,Publica,42,Ciencias Sociales,71,66,57,15,Si,10k-20k,No,Beca,Local,Amigos,Soltero,Ninguna,Si,10,1,Si,Demanda Laboral,No,No,4,Tecnología,2,Influencia Familiar,No,No
Femenino,21,Rural,Privada,41,Humanidades,76,63,56,16,Si,5k-10k,No,Beca,Foraneo,Solo,Soltero,Ninguna,No,7,3,Si,Sueldo,No,No,1,Viajar,3,Influencia Familiar,Si,No
Femenino,21,Urbana,Publica,21,Ingenieria,68,83,52,15,No,10k-20k,Si,Beca,Foraneo,Amigos,Soltero,Ninguna,No,5,3,No,Amigos/Familia,No,Si,2,Deportes,6,Prestigio,Si,Si
Femenino,20,Urbana,Privada,29,Humanidades,70,67,68,14,No,5k-10k,Si,Beca,Foraneo,Solo,Soltero,Ninguna,No,7,1,No,Prestigio,Si,No,3,Viajar,2,Cercanía,No,No
Masculino,18,Urbana,Publica,19,Ciencias Sociales,82,67,60,23,Si,<5k,No,Otro,Local,Otros,Soltero,Ninguna,Si,6,3,No,Amigos/Familia,Si,Si,4,Arte,5,Cercanía,Si,Si
Masculino,18,Rural,Privada,44,Ingenieria,88,75,77,10,No,10k-20k,No,Padres,Local,Familia,Soltero,Ninguna,No,5,2,Si,Gusto Personal,No,No,4,Viajar,5,Cercanía,Si,Si
Femenino,22,Urbana,Privada,34,Humanidades,77,78,72,9,Si,<5k,No,Beca,Local,Solo,Soltero,Ninguna,No,5,4,Si,Sueldo,No,Si,3,Lectura,5,Cercanía,No,Si
Femenino,22,Rural,Privada,18,Arte,92,68,69,15,Si,5k-10k,No,Padres,Local,Amigos,Soltero,Ninguna,No,6,2,Si,Sueldo,No,No,3,Viajar,5,Influencia Familiar,Si,No
Masculino,21,Rural,Privada,34,Ciencias Sociales,75,74,75,20,No,<5k,No,Padres,Local,Solo,Soltero,Ninguna,Si,5,2,No,Amigos/Familia,No,Si,4,Lectura,6,Influencia Familiar,Si,No
Masculino,20,Urbana,Publica,23,Ciencias Naturales,85,65,84,14,Si,5k-10k,No,Padres,Local,Familia,Soltero,Ninguna,Si,6,2,No,Amigos/Familia,No,No,4,Tecnología,8,Influencia Familiar,Si,No
Femenino,20,Urbana,Privada,36,Ciencias Sociales,76,91,83,16,No,10k-20k,No,Padres,Foraneo,Familia,Soltero,Cognitiva,No,5,2,No,Sueldo,No,Si,3,Deportes,6,Prestigio,No,No
Masculino,19,Rural,Privada,10,Arte,74,70,61,20,No,10k-20k,Si,Otro,Foraneo,Solo,Soltero,Ninguna,No,6,2,Si,Sueldo,Si,Si,4,Lectura,6,Vocación,No,No
Femenino,22,Urbana,Publica,47,Ciencias Naturales,80,91,83,22,Si,10k-20k,No,Trabajo Propio,Local,Solo,Soltero,Ninguna,No,6,3,No,Amigos/Familia,No,Si,3,Lectura,6,Prestigio,No,No
Femenino,21,Rural,Privada,35,Ciencias Naturales,66,74,72,21,Si,10k-20k,Si,Padres,Foraneo,Amigos,Soltero,Ninguna,Si,5,3,No,Sueldo,No,No,3,Tecnología,8,Renta Económica,No,Si
Masculino,23,Urbana,Publica,33,Humanidades,78,71,65,14,Si,<5k,Si,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,Si,4,3,No,Sueldo,Si,Si,1,Arte,7,Vocación,No,Si
Masculino,24,Rural,Publica,33,Humanidades,86,91,57,17,No,5k-10k,Si,Otro,Local,Familia,Soltero,Ninguna,No,6,4,No,Gusto Personal,Si,Si,2,Tecnología,9,Prestigio,Si,No
Femenino,23,Urbana,Privada,31,Ciencias Naturales,83,81,81,16,No,10k-20k,No,Padres,Foraneo,Amigos,Soltero,Ninguna,No,8,2,No,Prestigio,No,No,3,Arte,3,Cercanía,No,No
Masculino,24,Urbana,Publica,20,Ciencias Naturales,85,80,69,22,No,10k-20k,Si,Padres,Foraneo,Solo,Soltero,Ninguna,Si,5,2,No,Amigos/Familia,Si,No,3,Arte,8,Vocación,No,No
Femenino,19,Urbana,Privada,30,Arte,67,71,93,10,Si,5k-10k,Si,Beca,Local,Solo,Soltero,Ninguna,Si,8,0,Si,Sueldo,No,Si,2,Arte,8,Vocación,No,No
Femenino,23,Rural,Publica,21,Ingenieria,69,83,79,14,Si,5k-10k,Si,Padres,Local,Familia,Soltero,Ninguna,Si,4,2,Si,Gusto Personal,No,Si,4,Arte,6,Cercanía,Si,Si
Femenino,19,Urbana,Privada,43,Arte,83,81,64,15,Si,>20k,Si,Otro,Local,Familia,Soltero,Ninguna,No,6,2,Si,Demanda Laboral,Si,No,3,Viajar,8,Influencia Familiar,No,No
Femenino,18,Rural,Publica,18,Humanidades,85,73,53,13,No,10k-20k,Si,Padres,Local,Solo,Soltero,Ninguna,Si,5,3,No,Gusto Personal,Si,No,3,Lectura,10,Cercanía,Si,No
Masculino,22,Urbana,Privada,58,Ciencias Sociales,77,70,68,19,No,5k-10k,No,Otro,Foraneo,Otros,Soltero,Ninguna,Si,6,3,No,Gusto Personal,No,Si,4,Arte,4,Vocación,Si,Si
Masculino,22,Urbana,Privada,22,Ciencias Sociales,88,77,71,11,No,5k-10k,Si,Trabajo Propio,Local,Familia,Soltero,Ninguna,Si,7,3,Si,Amigos/Familia,No,No,3,Lectura,6,Influencia Familiar,Si,No
Masculino,19,Urbana,Publica,30,Humanidades,87,77,82,7,Si,<5k,No,Otro,Foraneo,Solo,Casado,Motriz,Si,4,1,Si,Sueldo,Si,Si,3,Deportes,6,Prestigio,Si,No
Masculino,22,Urbana,Privada,34,Arte,71,93,61,7,No,5k-10k,No,Beca,Local,Solo,Soltero,Ninguna,Si,9,1,No,Prestigio,Si,Si,4,Lectura,5,Vocación,No,Si
Femenino,22,Urbana,Privada,19,Humanidades,78,76,82,14,Si,5k-10k,No,Trabajo Propio,Foraneo,Amigos,Soltero,Ninguna,No,5,3,Si,Sueldo,Si,No,3,Lectura,7,Influencia Familiar,No,No
Femenino,18,Urbana,Publica,45,Ciencias Naturales,73,68,64,24,Si,5k-10k,Si,Trabajo Propio,Foraneo,Amigos,Soltero,Ninguna,No,3,1,Si,Amigos/Familia,No,No,2,Viajar,6,Renta Económica,No,Si
Masculino,19,Rural,Publica,32,Humanidades,84,70,56,10,Si,5k-10k,Si,Padres,Foraneo,Otros,Casado,Ninguna,No,8,2,Si,Sueldo,Si,No,3,Viajar,5,Prestigio,No,No
Femenino,21,Urbana,Publica,24,Ingenieria,83,85,71,22,Si,<5k,Si,Otro,Foraneo,Familia,Soltero,Ninguna,No,7,2,No,Demanda Laboral,No,Si,4,Deportes,3,Renta Económica,No,No
Femenino,22,Urbana,Publica,22,Humanidades,92,62,80,16,Si,5k-10k,No,Beca,Foraneo,Otros,Divorciado,Ninguna,No,5,3,Si,Prestigio,No,Si,4,Viajar,10,Prestigio,No,No
Femenino,24,Urbana,Privada,31,Humanidades,62,75,71,22,No,10k-20k,No,Otro,Foraneo,Solo,Soltero,Ninguna,No,3,2,Si,Prestigio,Si,Si,2,Arte,6,Renta Económica,No,No
Femenino,22,Rural,Privada,22,Ciencias Sociales,88,80,88,31,No,>20k,No,Beca,Foraneo,Otros,Soltero,Ninguna,Si,5,1,Si,Demanda Laboral,Si,Si,3,Viajar,6,Renta Económica,Si,Si
Masculino,20,Rural,Publica,44,Humanidades,69,70,79,16,Si,5k-10k,No,Padres,Foraneo,Amigos,Casado,Ninguna,No,8,3,No,Prestigio,Si,Si,4,Viajar,8,Cercanía,Si,Si
Masculino,20,Urbana,Privada,55,Ciencias Naturales,90,53,81,15,No,>20k,Si,Trabajo Propio,Local,Familia,Soltero,Ninguna,Si,5,4,No,Demanda Laboral,Si,Si,2,Arte,3,Vocación,No,No
Masculino,20,Urbana,Publica,34,Ciencias Naturales,59,73,75,20,Si,<5k,Si,Padres,Local,Solo,Soltero,Cognitiva,Si,7,3,Si,Prestigio,Si,No,2,Viajar,3,Cercanía,Si,Si
Femenino,18,Urbana,Privada,36,Ciencias Naturales,88,84,70,21,Si,5k-10k,No,Otro,Local,Amigos,Soltero,Ninguna,Si,8,1,No,Gusto Personal,No,Si,5,Viajar,5,Cercanía,No,No
Masculino,20,Urbana,Privada,29,Ciencias Sociales,68,65,68,21,Si,<5k,No,Otro,Local,Otros,Soltero,Ninguna,Si,8,2,Si,Demanda Laboral,Si,Si,4,Viajar,5,Renta Económica,No,Si
Femenino,21,Urbana,Privada,15,Ciencias Naturales,63,75,62,14,Si,10k-20k,Si,Otro,Foraneo,Familia,Soltero,Ninguna,Si,5,3,Si,Demanda Laboral,Si,Si,3,Tecnología,3,Influencia Familiar,No,Si
Femenino,18,Rural,Privada,45,Ciencias Naturales,82,82,55,17,Si,5k-10k,No,Padres,Foraneo,Familia,Divorciado,Ninguna,No,5,3,No,Sueldo,No,No,3,Deportes,3,Vocación,Si,No
Femenino,23,Urbana,Publica,14,Ciencias Naturales,75,74,68,10,Si,<5k,No,Otro,Foraneo,Amigos,Soltero,Cognitiva,Si,5,2,No,Amigos/Familia,No,No,4,Viajar,9,Cercanía,No,No
Femenino,19,Rural,Publica,41,Ciencias Naturales,76,68,62,20,No,<5k,Si,Otro,Foraneo,Otros,Soltero,Ninguna,Si,6,0,No,Prestigio,No,Si,4,Tecnología,5,Cercanía,No,Si
Masculino,19,Urbana,Privada,42,Ingenieria,79,78,89,9,No,<5k,No,Beca,Foraneo,Otros,Soltero,Ninguna,No,5,3,Si,Amigos/Familia,Si,Si,3,Tecnología,3,Vocación,Si,No
Femenino,18,Rural,Publica,26,Ingenieria,95,66,68,11,No,>20k,No,Trabajo Propio,Local,Amigos,Soltero,Ninguna,Si,6,3,Si,Sueldo,No,Si,2,Lectura,3,Renta Económica,No,No
Femenino,20,Rural,Privada,32,Ciencias Sociales,85,70,64,15,Si,<5k,No,Otro,Local,Amigos,Soltero,Ninguna,Si,3,3,No,Sueldo,No,No,4,Viajar,5,Cercanía,No,Si
Masculino,18,Urbana,Publica,48,Ciencias Naturales,81,69,63,11,No,5k-10k,Si,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,Si,7,2,No,Gusto Personal,No,Si,3,Lectura,8,Cercanía,No,No
